iter	Passed	Remaining
412	3163	4496
413	3170	4487
414	3177	4479
415	3184	4470
416	3193	4464
417	3199	4454
418	3206	4446
419	3212	4436
420	3219	4427
421	3226	4419
422	3233	4410
423	3240	4401
424	3247	4393
425	3254	4384
426	3261	4377
427	3268	4367
428	3275	4359
429	3281	4350
430	3288	4341
431	3295	4332
432	3301	4323
433	3308	4314
434	3314	4305
435	3321	4297
436	3328	4288
437	3335	4279
438	3342	4271
439	3349	4263
440	3357	4256
441	3364	4247
442	3372	4240
443	3380	4232
444	3387	4225
445	3394	4216
446	3402	4208
447	3408	4200
448	3415	4191
449	3422	4183
450	3429	4174
451	3436	4166
452	3444	4158
453	3452	4151
454	3460	4144
455	3468	4137
456	3475	4129
457	3483	4122
458	3490	4114
459	3498	4106
460	3506	4099
461	3513	4091
462	3521	4084
463	3529	4077
464	3537	4069
465	3544	4061
466	3552	4054
467	3560	4047
468	3568	4040
469	3576	4032
470	3586	4027
471	3594	4020
472	3600	4011
473	3607	4002
474	3613	3994
475	3620	3985
476	3627	3977
477	3634	3969
478	3641	3960
479	3648	3952
480	3655	3943
481	3661	3935
482	3669	3927
483	3676	3919
484	3682	3910
485	3689	3902
486	3696	3893
487	3703	3885
488	3709	3876
489	3716	3868
490	3723	3859
491	3730	3851
492	3736	3842
493	3743	3834
494	3750	3826
495	3757	3817
496	3764	3809
497	3772	3802
498	3779	3794
499	3786	3786
500	3792	3777
501	3799	3769
502	3805	3760
503	3812	3752
504	3819	3743
505	3825	3734
506	3832	3726
507	3838	3717
508	3845	3709
509	3852	3700
510	3858	3692
511	3865	3684
512	3872	3675
513	3878	3667
514	3885	3659
515	3892	3650
516	3899	3643
517	3906	3634
518	3913	3626
519	3919	3618
520	3926	3610
521	3933	3601
522	3939	3593
523	3946	3585
524	3954	3577
525	3961	3569
526	3968	3561
527	3974	3553
528	3981	3545
529	3990	3538
530	3997	3531
531	4004	3522
532	4011	3514
533	4017	3506
534	4024	3498
535	4031	3489
536	4037	3481
537	4044	3473
538	4050	3464
539	4057	3456
540	4064	3448
541	4070	3439
542	4077	3432
543	4084	3423
544	4091	3415
545	4098	3407
546	4105	3399
547	4112	3391
548	4118	3383
549	4125	3375
550	4132	3367
551	4139	3359
552	4145	3351
553	4152	3342
554	4159	3335
555	4166	3326
556	4172	3318
557	4179	3310
558	4185	3302
559	4193	3294
560	4199	3286
561	4206	3278
562	4213	3270
563	4220	3262
564	4227	3254
565	4233	3246
566	4240	3238
567	4247	3230
568	4254	3222
569	4261	3214
570	4268	3207
571	4276	3199
572	4282	3191
573	4289	3183
574	4296	3175
575	4303	3167
576	4310	3160
577	4317	3151
578	4324	3144
579	4330	3136
580	4337	3128
581	4344	3120
582	4350	3111
583	4357	3104
584	4364	3096
585	4373	3089
586	4380	3081
587	4387	3074
588	4394	3066
589	4401	3058
590	4409	3051
591	4417	3044
592	4425	3037
593	4432	3029
594	4440	3022
595	4448	3015
596	4456	3008
597	4464	3000
598	4472	2994
599	4480	2987
600	4488	2980
601	4496	2972
602	4503	2965
603	4511	2958
604	4519	2950
605	4527	2943
606	4535	2936
607	4542	2928
608	4550	2921
609	4557	2913
610	4564	2906
611	4572	2898
612	4579	2891
613	4587	2883
614	4594	2876
615	4601	2868
616	4608	2860
617	4615	2852
618	4622	2845
619	4628	2837
620	4635	2829
621	4642	2821
622	4649	2813
623	4655	2805
624	4662	2797
625	4669	2789
626	4675	2781
627	4683	2774
628	4689	2766
629	4697	2758
630	4703	2750
631	4710	2742
632	4717	2735
633	4724	2727
634	4731	2719
635	4737	2711
636	4744	2703
637	4750	2695
638	4758	2688
639	4766	2681
640	4773	2673
641	4780	2665
642	4786	2657
643	4793	2649
644	4800	2641
645	4806	2633
646	4813	2626
647	4819	2618
648	4826	2610
649	4834	2602
650	4840	2595
651	4847	2587
652	4854	2579
653	4861	2571
654	4868	2564
655	4874	2556
656	4882	2548
657	4888	2541
658	4896	2533
659	4902	2525
660	4909	2517
661	4916	2510
662	4922	2502
663	4930	2494
664	4936	2487
665	4944	2479
666	4950	2471
667	4957	2463
668	4964	2456
669	4970	2448
670	4977	2440
671	4984	2432
672	4992	2425
673	4998	2417
674	5005	2410
675	5012	2402
676	5019	2394
677	5026	2387
678	5032	2379
679	5039	2371
680	5046	2363
681	5052	2355
682	5059	2348
683	5067	2341
684	5074	2333
685	5082	2326
686	5090	2319
687	5097	2311
688	5103	2303
689	5110	2296
690	5116	2288
691	5124	2280
692	5130	2272
693	5137	2265
694	5144	2257
695	5151	2249
696	5160	2243
697	5167	2235
698	5174	2228
699	5181	2220
700	5187	2212
701	5194	2205
702	5200	2197
703	5208	2189
704	5214	2182
705	5221	2174
706	5228	2166
707	5235	2159
708	5242	2151
709	5249	2144
710	5256	2136
711	5263	2128
712	5270	2121
713	5276	2113
714	5283	2105
715	5290	2098
716	5297	2090
717	5304	2083
718	5311	2075
719	5318	2068
720	5325	2060
721	5332	2053
722	5339	2045
723	5346	2037
724	5353	2030
725	5359	2022
726	5366	2015
727	5374	2007
728	5380	2000
729	5387	1992
730	5394	1985
731	5401	1977
732	5407	1969
733	5414	1962
734	5421	1954
735	5427	1946
736	5435	1939
737	5442	1932
738	5449	1924
739	5456	1917
740	5463	1909
741	5470	1902
742	5476	1894
743	5483	1886
744	5490	1879
745	5496	1871
746	5503	1864
747	5510	1856
748	5517	1848
749	5523	1841
750	5530	1833
751	5537	1826
752	5543	1818
753	5550	1810
754	5560	1804
755	5568	1797
756	5575	1789
757	5583	1782
758	5590	1775
759	5598	1767
760	5605	1760
761	5613	1753
762	5620	1745
763	5628	1738
764	5636	1731
765	5643	1723
766	5650	1716
767	5658	1709
768	5666	1702
769	5675	1695
770	5683	1688
771	5691	1680
772	5699	1673
773	5706	1666
774	5713	1658
775	5720	1651
776	5726	1643
777	5734	1636
778	5741	1628
779	5748	1621
780	5754	1613
781	5761	1606
782	5768	1598
783	5774	1590
784	5781	1583
785	5788	1575
786	5795	1568
787	5803	1561
788	5811	1554
789	5818	1546
790	5826	1539
791	5833	1531
792	5839	1524
793	5846	1516
794	5853	1509
795	5860	1502
796	5869	1494
797	5877	1487
798	5884	1480
799	5891	1472
800	5899	1465
801	5906	1458
802	5913	1450
803	5920	1443
804	5927	1435
805	5935	1428
806	5942	1421
807	5950	1414
808	5959	1406
809	5966	1399
810	5973	1392
811	5979	1384
812	5986	1376
813	5993	1369
814	6000	1362
815	6008	1354
816	6014	1347
817	6021	1339
818	6029	1332
819	6036	1324
820	6043	1317
821	6050	1310
822	6058	1302
823	6065	1295
824	6074	1288
825	6082	1281
826	6091	1274
827	6099	1266
828	6107	1259
829	6114	1252
830	6122	1245
831	6129	1237
832	6136	1230
833	6144	1222
834	6150	1215
835	6157	1208
836	6164	1200
837	6171	1193
838	6178	1185
839	6184	1178
840	6191	1170
841	6198	1163
842	6206	1155
843	6213	1148
844	6221	1141
845	6228	1133
846	6235	1126
847	6242	1118
848	6249	1111
849	6256	1104
850	6264	1096
851	6271	1089
852	6277	1081
853	6285	1074
854	6292	1067
855	6299	1059
856	6306	1052
857	6313	1044
858	6320	1037
859	6326	1029
860	6334	1022
861	6340	1015
862	6351	1008
863	6359	1000
864	6366	993
865	6373	986
866	6380	978
867	6387	971
868	6394	963
869	6402	956
870	6408	949
871	6415	941
872	6426	934
873	6434	927
874	6442	920
875	6451	913
876	6459	905
877	6468	898
878	6477	891
879	6501	886
880	6509	879
881	6516	871
882	6522	864
883	6529	856
884	6536	849
885	6542	841
886	6550	834
887	6557	827
888	6564	819
889	6571	812
890	6578	804
891	6584	797
892	6591	789
893	6598	782
894	6604	774
895	6611	767
896	6619	760
897	6625	752
898	6632	745
899	6641	737
900	6648	730
901	6655	723
902	6663	715
903	6669	708
904	6676	700
905	6682	693
906	6689	685
907	6698	678
908	6705	671
909	6713	663
910	6720	656
911	6728	649
912	6735	641
913	6746	634
914	6754	627
915	6763	620
916	6771	612
917	6780	605
918	6788	598
919	6796	590
920	6804	583
921	6812	576
922	6820	569
923	6830	561
924	6838	554
925	6847	547
926	6854	539
927	6862	532
928	6868	524
929	6875	517
930	6882	510
931	6889	502
932	6897	495
933	6904	487
934	6911	480
935	6918	473
936	6926	465
937	6932	458
938	6939	450
